第0世代平均適応度 0.000000
  0 : M Y E I , Q A J E , A B T G , B P T J      0
  1 : L U I A , B J Q M , Y Z Y Y , K M F D      0
  2 : D N L C , N F K N , P Q O L , J E A M      0
  3 : R M J R , D E G Z , P W U D , X D T Q      0
  4 : B E S M , U I Z D , R P R E , S E Y G      0
  5 : K M F T , C B P H , E Q S U , R U V F      0
  6 : W U M E , M P O I , B J F R , V O B B      0
  7 : Y P J M , H F Z T , A Y Q V , T A T H      0
  8 : R A S M , B N E W , Q E E E , K V M T      0
  9 : E A H V , L Z A W , D O Q Z , J D B H      0
 10 : L A Y Z , Z Y F B , N H E T , W R M N      0
 11 : C R T J , E K M S , Z M I A , J S D D      0
 12 : M M E H , Q F T X , R C T X , T X B K      0
 13 : B S T R , I W U Y , T A A R , X I I O      0
 14 : C H Q B , R N C X , K N Z M , T V X U      0
 15 : M A Z W , S D U Q , W H T C , F J L H      0
 16 : W N H A , T Y S I , N A F U , B L N M      0
 17 : G L L O , M J Y I , R S P A , J K H B      0
 18 : S Y K G , Z Z L G , D K Y G , R A R R      0
 19 : U F T N , V R S R , O X N Q , H Y N W      0
 20 : I A C S , L N X R , X Y L N , K Q A Z      0
 21 : U F C M , Y C W V , R U L N , Q Y M K      0
 22 : A O W Y , Q E U T , N H S K , X H W H      0
 23 : V Z W L , I J I R , V H P V , K H V H      0
 24 : B T X D , C Y X A , E E U W , W F B T      0
 25 : D Z S Y , H B U C , V T C R , L W R Z      0
 26 : J Q C I , V T S R , K N O P , U V N G      0
 27 : L Y K Z , N P D Z , M P Y H , S Q O X      0
 28 : I D C G , E V B G , S M W G , U M A U      0
 29 : Q X C N , J J X B , Y W K T , K C E S      0
第1世代平均適応度 0.000000
  0 : M F E H , V R S R , R C T X , T X N W      0
  1 : D M J C , N E K N , P W U D , J E T M      0
  2 : W D C A , E Y B G , N A W G , B L N M      0
  3 : U M T N , Q F T X , O X N Q , H Y B K      0
  4 : A L W Y , M E U I , R H P A , X K W H      0
  5 : I N H G , T V S I , S M F U , U M A U      0
  6 : R A J M , H N E W , A E Q I , K A T H      0
  7 : E A H M , L Z Z T , A Y Q V , T A B H      0
  8 : G P C O , H F Y T , A S Q A , T A T B      0
  9 : K M C T , C B P H , K N S U , R V V F      0
 10 : M J E V , L A J W , A B T Z , J D B J      0
 11 : R P J M , H N Z T , Q E Q V , T A M T      0
 12 : I T X S , C N X R , X Y L N , K Q B T      0
 13 : M F T W , S R U R , W X T Q , F Y L W      0
 14 : Y P J V , H F A W , D O Q Z , J D T H      0
 15 : B Y S Z , U P D Z , C P R E , S Q Y G      0
 16 : A O W Y , Z Z L T , N H Y G , R H W R      0
 17 : B A C D , L Y X A , E E U W , W F A Z      0
 18 : J Q F I , V T S R , E Q O P , U U N G      0
 19 : K M H V , C Z A H , D O Q U , R D B F      0
 20 : U A Z N , V D S Q , O H N C , H J N H      0
 21 : K M J T , D B G H , E Q U D , X U T Q      0
 22 : U F T N , V R S R , O X N Q , H Y N W      0
 23 : R N L C , N N K W , P Q O L , K V M T      0
 24 : L E K M , N I Z D , R P Y H , S E O X      0
 25 : R M F R , C E P Z , P W S U , R D V F      0
 26 : D F T Y , V B S R , O T N R , H Y N Z      0
 27 : I O W Y , Q E U T , S K S G , U M W H      0
 28 : U F C M , Y C W V , R U L N , Q Y M K      0
 29 : G O L O , Q J Y T , N S S K , J H H B      0
第2世代平均適応度 0.033333
  0 : I N H Y , M E U I , S M F U , X K W U      0
  1 : B A C D , Y C X A , E E L N , Q Y A K      0
  2 : J A H I , V T Z R , E Y O P , T A B G      0
  3 : U F C M , L Y W V , R U U W , W F M Z      0
  4 : I T X S , C N G A , X Y L N , K U B Q      0
  5 : D P C C , H E K N , P W Q A , J E T B      0
  6 : E E K M , L I Z D , A P Q V , T E O X      0
  7 : D E T Y , V B S D , R P Y R , S E O X      0
  8 : U F C M , Y C W V , R E Q N , K A M H      0
  9 : U Q Z N , V T S Q , O H N P , U U N H      0
 10 : J Q F W , S T S R , W X O Q , U U L G      0
 11 : U M T R , C E T Z , P W S U , H Y B K      0
 12 : R A J M , H N E W , A E Q I , K A T H      0
 13 : L A H M , N Z Z T , R Y Y H , S A B H      0
 14 : I N H G , T V S R , S M F Q , H M A U      0
 15 : I M W Y , Q B U H , S K S U , U V W F      0
 16 : Y M J T , H F A W , E O Q B , J D T Q      0
 17 : J Q X I , C T S R , X Q L P , K Q N G      0
 18 : I T F S , V N X R , E Y O N , U U B T      0
 19 : M F T I , V R U R , E Q T P , F Y N W      0
 20 : B Y H Z , C Z A Z , C O R U , R D Y F      1
 21 : L O L O , N I Y X , N N Y K , J E H X      0
 22 : A L W G , T V S I , R H P A , U M A H      0
 23 : U F H V , C Z W V , D O Q U , Q D B F      0
 24 : K P J V , D B G H , D Q U D , X U T H      0
 25 : R F L C , V R S R , P X O L , H V N W      0
 26 : I T X S , C N X R , X Y L N , K Q B T      0
 27 : R P J M , H N E T , Q E Q I , T A T T      0
 28 : L F K M , N I Z R , M T N H , H Y N Z      0
 29 : U N T N , N N K W , O Q N Q , K Y M T      0
第3世代平均適応度 0.133333
  0 : R P F S , V N E T , E E Q N , T U T T      0
  1 : D P C C , C Z K Z , P W Q A , J E T F      1
  2 : B Y H Z , C Z A Z , C O R U , R D P F      1
  3 : J Q X C , C R S R , P X L P , K Q N G      0
  4 : I T F S , C N X A , E Y L N , U U B Q      0
  5 : R E L M , L R S R , A X Q L , T V O X      0
  6 : B Y C D , C Z X Z , E O L U , Q Y Y F      0
  7 : I N H Y , N I Z I , S T N H , X K N Z      0
  8 : E F K C , V I Z D , P P O V , H E N W      0
  9 : L A H M , L Z Z D , A Y Y V , S A B H      0
 10 : I T F S , T N S R , E Y F N , U U B T      0
 11 : U Y C M , C Z A Z , C U U U , W F Y F      1
 12 : I M X Y , Q B S J , X K L U , U V Z G      0
 13 : J A H I , C T Z R , X Y O N , T Q B T      0
 14 : J O X I , C T S X , N N Y K , J E H G      0
 15 : B Y H S , C N A Z , C O L N , K D B O      0
 16 : I F H G , C V S R , D O Q Q , Q M B F      0
 17 : K P J S , D B G R , X Y U N , K U T H      0
 18 : L A H M , N T Z T , R Y Y H , T A B H      0
 19 : U P C C , L Y W N , R U Q W , J E T B      0
 20 : R F J M , N N Z R , A E Q I , H A N H      0
 21 : J A W Y , Q T Z R , S K S P , U A W F      0
 22 : J Q T W , S T S D , W X Y Q , S U O X      0
 23 : D E D Y , V B S R , R P O R , U E L G      0
 24 : U F H Z , C Z A Z , D R Q U , Q D Y F      1
 25 : R F L C , V B G R , P W O L , X U T W      0
 26 : J Q W I , C T U H , S Q S P , K Q N F      0
 27 : B A H Z , Y C A A , C E R N , R D A K      0
 28 : E E K M , N I Z T , R P Q H , T E O X      0
 29 : I N H G , V V X R , S M O Q , H M A U      0
第4世代平均適応度 0.266667
  0 : K Q J S , C B S R , P Y U P , K Q N H      0
  1 : D P C C , C V K Z , D O Q Q , J E T F      0
  2 : R F J M , N N Z T , A E Q I , H A N H      0
  3 : J N T W , S T X R , W X O Q , H U A U      0
  4 : R Y C M , L Z S Z , A U Q U , T V Y X      0
  5 : U Y J M , C Z A R , C E U U , W A N H      0
  6 : U F C Z , C Z A Z , D R U U , Q F Y F      1
  7 : K Y H Z , D Z A Z , C Y U N , R D T F      1
  8 : R F C M , N N Z Z , A U Q I , H F Y F      1
  9 : U Y H M , C Z A Z , C U Q U , W D Y F      1
 10 : R F J M , N N Z R , A E Q I , H A N H      0
 11 : D F L C , V B S R , P W O R , U E L G      0
 12 : D P C C , C Z K Z , P W Q A , J E T F      1
 13 : I T F Z , C N X Z , E Y L N , R U B F      0
 14 : K P J S , D N G R , E Y L N , K U T Q      0
 15 : B A H M , L Z Z Z , A O Y N , S D B H      1
 16 : B Y F S , C Z A R , E O F N , R D B Y      0
 17 : U P C Z , C Z K Z , D R Q U , V E Y F      1
 18 : K T J S , C B G A , X Y L N , K U B Q      0
 19 : B Y H S , C Z A A , C O R U , U D P Q      1
 20 : D E D Y , V Z S R , A P Y R , S E L G      0
 21 : U Y T M , S Z A Z , W X U Q , S F O F      0
 22 : I N L M , N I Z I , A T Q L , X K N X      0
 23 : R E H Y , L R S R , S X N H , T V O Z      0
 24 : J O X S , C N S X , N N Y K , U E H Q      0
 25 : J O F I , V N S X , E N Q K , T U H G      0
 26 : R P X S , C T E T , N E Y N , J E T T      0
 27 : I N L G , V V X R , S X O L , H V A X      0
 28 : R E D Y , V B G R , R P O L , X U T W      0
 29 : R E H M , L R S R , A M Q Q , T M O U      0
第5世代平均適応度 0.433333
  0 : D P H C , C Z K Z , C Y Q Q , R E T F      1
  1 : U Y C Z , D Z A Z , C R U N , R F Y F      1
  2 : K Y H Y , D Z G Z , C P U N , R D T F      0
  3 : U Y T M , S Z A R , A M Q Q , T F O F      0
  4 : B P H S , C Z A A , N O R U , U E T T      1
  5 : I T F Z , C Z X Z , A U Q N , T V Y X      0
  6 : J O F I , V N S R , E N Q K , T U H H      0
  7 : B A H M , C Z A Z , C O R U , U D B H      1
  8 : U P C M , C Z A Z , D U Q U , W E Y F      1
  9 : R F C M , N N Z Z , A E Q I , H A N H      1
 10 : J Y X S , C N A A , C N Y U , U E H Q      0
 11 : B N T M , L T Z R , W O Y Q , H D A U      0
 12 : K F H Z , C Z A Z , D Y U U , Q D T F      1
 13 : J O F I , V N S X , E N Q K , T U H G      0
 14 : F F H M , L R Z Z , A U Q A , T F Y F      0
 15 : B Y H S , C Z A Z , C O R U , U D P Q      1
 16 : U P C Z , C Z K Z , D R U U , Q E Y F      1
 17 : R E H M , L B G A , A Y L N , T M O U      0
 18 : R E D Y , V B G R , R P O L , X U T W      0
 19 : U Y H M , C Z A A , C U Q U , W D Y F      1
 20 : U V T M , S Z A Z , W X U L , S F O W      0
 21 : R F H M , D Z Z T , A E U N , R A T F      0
 22 : K T J S , C R S R , X M Q Q , K U B Q      0
 23 : R F H M , D N Z Z , C Y U I , H F T F      1
 24 : U Y H Z , C Z K Z , C R Q U , V D Y F      1
 25 : J A H W , S Z X Z , A X O N , S U B H      0
 26 : K F C M , N N Z Z , P U Q I , K F Y J      1
 27 : I E F Y , L N S Z , E X L N , T V B F      0
 28 : R E L M , N R S I , S T Q L , X K N Z      0
 29 : R E H M , L R S Z , W X U Q , S M O U      0
第6世代平均適応度 0.800000
  0 : U Y H S , C Z A Z , C O U N , U E T T      1
  1 : R P D Y , C Z G Z , R P Q U , X U Y W      0
  2 : U P C Z , C Z K Z , A E Q I , Q E Y H      1
  3 : R Y H Z , C Z Z Z , C E Q N , V A T F      5
  4 : U F H Z , C Z K Z , D R U U , Q E T F      1
  5 : U F H M , D Z K T , A R U U , R D Y F      0
  6 : R F H W , S N Z Z , A E O N , H U B H      0
  7 : R Y H M , D Z Z Z , A E Q N , R A T H      5
  8 : B P H S , C Z A A , C O R U , U D T T      1
  9 : R Y H Z , D Z K T , A R U N , R A Y F      0
 10 : K F X S , N N Z Z , P U Y I , K F H J      1
 11 : K P C Z , C Z A Z , D Y U U , Q D Y F      1
 12 : J A C M , N Z X Z , A X Q I , S A N H      0
